2016-06-06,9,8,1,8,15,12,15,9,None,10,2,17,1,7,3,18
2016-06-13,18,16,14,7,2,15,None,None,None,12,1,None,2,6,None,10
2016-06-20,4,1,3,18,10,12,5,None,None,15,14,8,6,11,2,7
2016-06-27,2,5,17,11,12,13,6,None,None,5,16,1,6,8,7,15
2016-07-11,13,12,16,15,5,14,6,None,9,11,8,None,7,17,None,10
2016-07-18,8,7,6,10,15,2,14,None,None,17,12,None,13,3,None,16
2016-07-25,17,16,3,12,5,15,None,None,None,None,None,None,None,None,None,14
